Category,UPC,Reference No.,Item Name,Item Name2,Size,Retail Price,Supplier Cost,GST,PST,Unnamed: 10,TAX4,Supplier,Price Group,Deposit Group,Deposit Amount,Env. Fee,Carton Barcode,Active,Open Item,Scale Item,Redemption Item,WIC Item,Food Stamp Item,Special Item,Reward Point Item,Sale Qty Limit Item,Prepaid Item,Percent Discount Item,Print Label,Carton,Hold Qty,Manage Inv.,On Hand,Inv. Level,Inv. Threshold Level,Discount Rule,Discount Period,Discount Start Date,Discount End Date,Discount Qty,Discount Price,Per Unit,Tax Included,Margin Rate,Default Limited Sale Qty,Tare,Box Cost,Box Qty,Memo,Last Updated Date
Grocery,723246285726,,lx sella xl basmati 20lb,,,22.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,30,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,841905061518,,moms magic cashew and almond,,,3.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,35,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,723246288673,,phool makhana 400gm,,,17.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,9,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,723246177298,,lx red chilli powder 800gms,,,13.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,10,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,723246187198,,whole nut meg 100gms,,,4.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,19,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,061200018608,,dairy milk fire works,,,1.99,0.0,Y,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8901565001728,,pik-nik tomato chilli,,,1.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-7,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,046139068900,,center fresh 20pack,,,3.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,9,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,738015592011,,type c to type c cable,,,12.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8906166082886,,ingrano red rajma 2lb,,,4.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8906166082817,,ingrano toor dal oily,,,5.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8906166082893,,ingrano white chole 2lb,,,4.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-2,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8906166082831,,ingrano moong whole 2lb,,,4.75,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8906133641627,,Nilgiri Ginger Garlic paste 750gr,,,7.59,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-1,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,8906133640019,,Nilgiri Matta Rice 22lb/10 kg,,,24.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,6,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,785018012480,,Priya Red Chilli Pckl,,,3.1,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,9,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,785018012510,,Priya ginger pikl 300mg,,,3.1,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,12,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,060410054765,,cheetos crunchy croquant,,,4.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-2,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,788821030016,,shaan tandoori masala,,,2.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-1,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,8929991724370,,chilli garlic chakli,,,3.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-7,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,723246284620,,LX Brown Sonamasoori Rice,,,16.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-1,0,0,No Discount,N,20071112,20071112,0,0.0,,Y,0.0,0,No Tare,0.0,1,,
Grocery,620514013084,,national corn flour,,,2.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,775620311002,,gagan red chilli 100gm,,,2.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,756201134234,,gagan alsi seed 400gm,,,5.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-2,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,775620112302,,gagan seasame seeds,,,2.49,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,6291103750297,,mdh pav bhaji masala,,,2.75,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,8907137001813,,camphor poojawale 100gm,,,10.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,5022496101363,,dabur amla hair oil,,,7.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-2,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,723246090870,,laxmi ginger garlic paste 680gm,,,5.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,723246200750,,coconut powder 400gm,,,4.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,5022496018760,,vatika red onion hair oil,,,8.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-3,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Deli,5022496009874,,vatika shikakai shampoo,,,8.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-5,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,5022496012676,,dabur chyawanprash 500gm,,,7.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,775620310708,,gagan ginger powder,,,2.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,723246184050,,light red kidney beans,,,6.25,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,-2,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
Grocery,775620411009,,gagan baking powder,,,1.99,0.0,N,N,N,N,--- No Supplier ---,No Group,No Deposit,0.0,0.0,,Y,N,N,N,N,N,N,N,N,N,Y,N,N,1,Y,0,0,0,No Discount,N,20071112,20071112,0,0.0,,N,0.0,0,No Tare,0.0,1,,
